Year,Month,Make,Quantity
2007,1,Toyota,2884
2007,1,Volkswagen,2521
2007,1,Peugeot,1029
2007,1,Ford,870
2007,1,Volvo,693
2007,1,Skoda,665
2007,1,Opel,622
2007,1,Audi,599
2007,1,Honda,423
2007,1,Mercedes-Benz,362
2007,1,BMW,352
2007,1,Citroen,263
2007,1,Suzuki,258
2007,1,Mazda,191
2007,1,Saab,169
2007,1,Renault,168
2007,1,Mitsubishi,136
2007,1,Nissan,127
2007,1,Hyundai,97
2007,1,Kia,55
2007,1,Dodge,33
2007,1,MINI,26
2007,1,Subaru,26
2007,1,Lexus,22
2007,1,Chevrolet,20
2007,1,Alfa Romeo,16
2007,1,Daihatsu,15
2007,1,Land Rover,14
2007,1,Fiat,9
2007,1,Chrysler,4
2007,1,Iveco,4
2007,1,Jaguar,3
2007,1,Jeep,2
2007,1,Nilsson,2
2007,1,Think,2
2007,1,Smart,1
2007,1,Ssangyong,1
2007,1,NA,1
2007,2,Toyota,1885
2007,2,Volkswagen,1517
2007,2,Ford,686
2007,2,Peugeot,621
2007,2,Volvo,570
2007,2,Opel,551
2007,2,Audi,498
2007,2,Skoda,463
2007,2,Mercedes-Benz,410
2007,2,Honda,356
2007,2,BMW,335
2007,2,Suzuki,264
2007,2,Mitsubishi,262
2007,2,Citroen,247
2007,2,Mazda,239
2007,2,Saab,175
2007,2,Hyundai,149
2007,2,Nissan,134
2007,2,Kia,119
2007,2,Renault,84
2007,2,Chevrolet,35
2007,2,MINI,32
2007,2,Land Rover,30
2007,2,Dodge,24
2007,2,Daihatsu,22
2007,2,Subaru,18
2007,2,Lexus,17
2007,2,Alfa Romeo,9
2007,2,Fiat,6
2007,2,Jeep,6
2007,2,Nilsson,6
2007,2,Chrysler,5
2007,2,Jaguar,5
2007,2,Smart,5
2007,2,Chevrolet US,3
2007,2,Ssangyong,2
2007,2,Porsche,2
2007,2,Cadillac,1
2007,3,Toyota,1833
2007,3,Volkswagen,1428
2007,3,Peugeot,867
2007,3,Ford,766
2007,3,Audi,682
2007,3,Volvo,656
2007,3,Opel,578
2007,3,Mitsubishi,512
2007,3,Skoda,491
2007,3,Honda,399
2007,3,Mercedes-Benz,387
2007,3,BMW,365
2007,3,Suzuki,333
